algorithm,batch,evaluations,mean_obj,std_obj,batch_size,statistic,lower_obj,upper_obj
GA,74,1352,1.283956670728584,1.7807081135997962,20,population_mean,-0.4967514428712121,3.0646647843283805
GA,75,1370,1.8824262085359837,1.0139965671810551,20,population_mean,0.8684296413549286,2.896422775717039
GA,76,1388,1.794291104098988,1.790906732168858,20,population_mean,0.003384371930129859,3.585197836267846
GA,77,1406,1.1077356904117042,2.14796784401823,20,population_mean,-1.0402321536065258,3.255703534429934
GA,78,1424,1.2895459620172331,1.858580537091246,20,population_mean,-0.5690345750740129,3.1481264991084794
GA,79,1442,1.1492316353000924,2.4142440556089513,20,population_mean,-1.2650124203088589,3.5634756909090437
GA,80,1460,1.680451453095094,1.2570979139065817,20,population_mean,0.4233535391885124,2.937549367001676
GA,81,1478,0.6916692560725508,3.098206585626474,20,population_mean,-2.4065373295539234,3.789875841699025
GA,82,1496,1.3052388162736592,1.8406828145120184,20,population_mean,-0.5354439982383592,3.1459216307856774
GA,83,1514,0.7496135159714223,2.5197101466192118,20,population_mean,-1.7700966306477894,3.269323662590634
GA,84,1532,1.4218526026725837,1.6654999931427847,20,population_mean,-0.243647390470201,3.0873525958153687
GA,85,1550,1.421153879600116,1.5775675166132936,20,population_mean,-0.15641363701317768,2.9987213962134094
GA,86,1568,0.8094275780979874,2.6241494291460796,20,population_mean,-1.8147218510480922,3.4335770072440672
GA,87,1586,1.561864799134345,1.728641934423163,20,population_mean,-0.16677713528881788,3.290506733557508
GA,88,1604,1.3180145780799684,1.5945541971971897,20,population_mean,-0.27653961911722136,2.9125687752771583
Random,0,20,-6.656269563551189,3.1849153473409886,20,window_mean,-9.841184910892178,-3.4713542162102002
Random,1,40,-5.504596177015124,2.027314383371539,20,window_mean,-7.531910560386663,-3.4772817936435847
Random,2,60,-7.061558054225247,2.313910877314654,20,window_mean,-9.375468931539901,-4.7476471769105935
Random,3,80,-6.149696291704976,2.4440599251046415,20,window_mean,-8.593756216809618,-3.7056363666003347
Random,4,100,-5.479099072898669,2.2877653972373695,20,window_mean,-7.7668644701360385,-3.1913336756612996
Random,5,120,-5.321804521651464,2.5570727892091294,20,window_mean,-7.878877310860593,-2.764731732442334
Random,6,140,-6.071506435595786,2.2993799631365524,20,window_mean,-8.370886398732338,-3.772126472459234
Random,7,160,-5.548881960490335,1.915881539443159,20,window_mean,-7.464763499933494,-3.633000421047176
Random,8,180,-6.001725242606873,2.372602449882967,20,window_mean,-8.374327692489839,-3.629122792723906
Random,9,200,-5.797197510934207,2.4643505308938978,20,window_mean,-8.261548041828105,-3.332846980040309
